"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.4,2,10,0.9,0.7,1e+06,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,1806502.29531639,13769.0723728383
0.4,2,10,0.9,0.7,5e+05,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,903251.147658196,6884.53618641917
0.4,2,10,0.9,0.8,1e+06,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,2064574.05179016,15736.0827118153
0.4,2,10,0.9,0.8,5e+05,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,1032287.02589508,7868.04135590763
0.4,2,10,0.9,0.9,1e+06,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,2322645.80826393,17703.0930507922
0.4,2,10,0.9,0.9,5e+05,2.86746396081967,2.84755586200903,4.31108940757504,131.2,0.64,1161322.90413197,8851.54652539608
0.4,3,2.5,0.5,0.1,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,61916.309652841,350.999487827897
0.4,3,2.5,0.5,0.1,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,30958.1548264205,175.499743913948
0.4,3,2.5,0.5,0.2,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,123832.619305682,701.998975655794
0.4,3,2.5,0.5,0.2,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,61916.309652841,350.999487827897
0.4,3,2.5,0.5,0.3,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,185748.928958523,1052.99846348369
0.4,3,2.5,0.5,0.3,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,92874.4644792615,526.499231741846
0.4,3,2.5,0.5,0.4,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,247665.238611364,1403.99795131159
0.4,3,2.5,0.5,0.4,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,123832.619305682,701.998975655794
0.4,3,2.5,0.5,0.5,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,176.4,0.784,309581.548264205,1754.99743913948
