"p","t","y","e","d","i","expected_years_saved","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.05,1,2.5,0.9,0.4,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,8820.66810404028,90.2370138520745
0.05,1,2.5,0.9,0.5,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,29769.7548511359,304.549921750751
0.05,1,2.5,0.9,0.5,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,11025.8351300503,112.796267315093
0.05,1,2.5,0.9,0.6,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,35723.7058213631,365.459906100902
0.05,1,2.5,0.9,0.6,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,13231.0021560604,135.355520778112
0.05,1,2.5,0.9,0.7,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,41677.6567915903,426.369890451052
0.05,1,2.5,0.9,0.7,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,15436.1691820705,157.91477424113
0.05,1,2.5,0.9,0.8,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,47631.6077618175,487.279874801202
0.05,1,2.5,0.9,0.8,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,17641.3362080806,180.474027704149
0.05,1,2.5,0.9,0.9,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,53585.5587320447,548.189859151352
0.05,1,2.5,0.9,0.9,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,19846.5032340906,203.033281167167
0.05,1,5,0.5,0.1,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,6372.97360188031,64.5364415380284
0.05,1,5,0.5,0.1,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,2360.360593289,23.9023857548253
0.05,1,5,0.5,0.2,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,12745.9472037606,129.072883076057
0.05,1,5,0.5,0.2,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,4720.72118657801,47.8047715096507
0.05,1,5,0.5,0.3,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,19118.9208056409,193.609324614085
0.05,1,5,0.5,0.3,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,7081.08177986701,71.707157264476
0.05,1,5,0.5,0.4,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,25491.8944075212,258.145766152114
0.05,1,5,0.5,0.4,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,9441.44237315601,95.6095430193014
0.05,1,5,0.5,0.5,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,31864.8680094015,322.682207690142
0.05,1,5,0.5,0.5,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,11801.802966445,119.511928774127
0.05,1,5,0.5,0.6,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,38237.8416112818,387.218649228171
0.05,1,5,0.5,0.6,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,14162.163559734,143.414314528952
0.05,1,5,0.5,0.7,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,44610.8152131622,451.755090766199
0.05,1,5,0.5,0.7,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,16522.524153023,167.316700283777
0.05,1,5,0.5,0.8,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,50983.7888150425,516.291532304228
0.05,1,5,0.5,0.8,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,18882.884746312,191.219086038603
0.05,1,5,0.5,0.9,1350000,0.0944144237315601,1.8882884746312,98.75,0.05,57356.7624169228,580.827973842256
0.05,1,5,0.5,0.9,5e+05,0.0944144237315601,1.8882884746312,98.75,0.05,21243.245339601,215.121471793428
0.05,1,5,0.7,0.1,1350000,0.0944144237315601,1.8882884746312,98.25,0.05,8922.16304263243,90.8108197723403
0.05,1,5,0.7,0.1,5e+05,0.0944144237315601,1.8882884746312,98.25,0.05,3304.5048306046,33.6336369527186
